RegistroPrisma,NamePrism,TomaIdex,Fecha,Em,Nm,Elev,ESTADO,Responsible,EquipoRegistro
1,PR01PAD-15,1,12/23/2019 9:20,315132.8609,9100598.963,4308.34105,1,1,1
2,PR01PAD-15,1,12/25/2019 9:20,315132.8644,9100598.961,4308.3442,1,1,1
3,PR01PAD-15,1,12/27/2019 9:20,315132.865,9100598.96,4308.3383,1,1,1
4,PR01PAD-15,1,1/19/2020 8:30,315132.8612,9100598.962,4308.3515,1,1,1
5,PR01PAD-15,1,1/26/2020 8:30,315132.8623,9100598.961,4308.34685,1,1,1
6,PR01PAD-15,1,2/4/2020 9:00,315132.8633,9100598.962,4308.3499,1,1,1
7,PR01PAD-15,1,3/15/2020 9:00,315132.864,9100598.963,4308.349,1,1,1
8,PR01PAD-15,1,3/29/2020 9:00,315132.868,9100598.962,4308.347,1,1,1
9,PR01PAD-15,1,4/11/2020 9:00,315132.8628,9100598.963,4308.34425,1,1,1
10,PR01PAD-15,1,4/23/2020 9:00,315132.866,9100598.958,4308.34625,1,1,1
11,PR01PAD-15,1,4/28/2020 9:00,315132.865,9100598.957,4308.34575,1,1,1
12,PR01PAD-15,1,5/6/2020 9:00,315132.862,9100598.953,4308.34225,1,1,1
13,PR01PAD-15,1,5/13/2020 9:00,315132.8615,9100598.958,4308.338,1,1,1
14,PR01PAD-15,1,6/7/2020 9:00,315132.8603,9100598.963,4308.34,1,1,1
15,PR01PAD-15,1,6/14/2020 9:00,315132.857,9100598.965,4308.338,1,1,1
16,PR01PAD-15,1,6/21/2020 9:00,315132.858,9100598.964,4308.3385,1,1,1
17,PR02PAD-15,1,12/23/2019 9:20,315221.1913,9100624.187,4308.219625,1,1,1
18,PR02PAD-15,1,12/25/2019 9:20,315221.1914,9100624.183,4308.218433,1,1,1
19,PR02PAD-15,1,12/27/2019 9:20,315221.1909,9100624.183,4308.22365,1,1,1
20,PR02PAD-15,1,1/19/2020 8:30,315221.18,9100624.188,4308.2291,1,1,1
21,PR02PAD-15,1,1/26/2020 8:30,315221.1848,9100624.185,4308.2261,1,1,1
22,PR02PAD-15,1,2/4/2020 9:00,315221.1859,9100624.185,4308.2187,1,1,1
23,PR02PAD-15,1,3/15/2020 9:00,315221.1827,9100624.182,4308.218433,1,1,1
24,PR02PAD-15,1,3/29/2020 9:00,315221.1848,9100624.184,4308.22,1,1,1
25,PR02PAD-15,1,4/11/2020 9:00,315221.1903,9100624.182,4308.21675,1,1,1
26,PR02PAD-15,1,4/23/2020 9:00,315221.1973,9100624.179,4308.214,1,1,1
27,PR02PAD-15,1,4/28/2020 9:00,315221.1925,9100624.173,4308.21125,1,1,1
28,PR02PAD-15,1,5/6/2020 9:00,315221.195,9100624.178,4308.21475,1,1,1
29,PR02PAD-15,1,5/13/2020 9:00,315221.1908,9100624.181,4308.2155,1,1,1
30,PR02PAD-15,1,6/7/2020 9:00,315221.185,9100624.186,4308.223,1,1,1
31,PR02PAD-15,1,6/14/2020 9:00,315221.185,9100624.189,4308.222,1,1,1
32,PR02PAD-15,1,6/21/2020 9:00,315221.1825,9100624.188,4308.221,1,1,1
33,PR03PAD-15,1,12/23/2019 9:20,315316.3392,9100584.318,4308.1449,1,1,1
34,PR03PAD-15,1,12/25/2019 9:20,315316.3441,9100584.319,4308.1553,1,1,1
35,PR03PAD-15,1,12/27/2019 9:20,315316.3444,9100584.318,4308.1445,1,1,1
36,PR03PAD-15,1,1/19/2020 8:30,315316.336,9100584.318,4308.14595,1,1,1
37,PR03PAD-15,1,1/26/2020 8:30,315316.3409,9100584.318,4308.142475,1,1,1
38,PR03PAD-15,1,2/4/2020 9:00,315316.3386,9100584.318,4308.1438,1,1,1
39,PR03PAD-15,1,3/15/2020 9:00,315316.338,9100584.317,4308.1438,1,1,1
40,PR03PAD-15,1,3/29/2020 9:00,315316.3386,9100584.318,4308.146,1,1,1
41,PR03PAD-15,1,4/11/2020 9:00,315316.3368,9100584.317,4308.1415,1,1,1
42,PR03PAD-15,1,4/23/2020 9:00,315316.3328,9100584.321,4308.1415,1,1,1
43,PR03PAD-15,1,4/28/2020 9:00,315316.335,9100584.32,4308.14,1,1,1
44,PR03PAD-15,1,5/6/2020 9:00,315316.3348,9100584.322,4308.1405,1,1,1
45,PR03PAD-15,1,5/13/2020 9:00,315316.3389,9100584.322,4308.145,1,1,1
46,PR03PAD-15,1,6/7/2020 9:00,315316.3418,9100584.321,4308.14675,1,1,1
47,PR03PAD-15,1,6/14/2020 9:00,315316.341,9100584.322,4308.145,1,1,1
48,PR03PAD-15,1,6/21/2020 9:00,315316.3403,9100584.321,4308.1435,1,1,1
49,PR04PAD-15,1,12/23/2019 9:20,315397.2774,9100561.977,4308.292067,1,1,1
50,PR04PAD-15,1,12/25/2019 9:20,315397.2765,9100561.977,4308.303633,1,1,1
51,PR04PAD-15,1,12/27/2019 9:20,315397.2762,9100561.979,4308.28485,1,1,1
52,PR04PAD-15,1,1/19/2020 8:30,315397.2768,9100561.974,4308.293633,1,1,1
53,PR04PAD-15,1,1/26/2020 8:30,315397.2766,9100561.976,4308.291575,1,1,1
54,PR04PAD-15,1,2/4/2020 9:00,315397.2728,9100561.974,4308.2929,1,1,1
55,PR04PAD-15,1,3/15/2020 9:00,315397.275,9100561.975,4308.2929,1,1,1
56,PR04PAD-15,1,3/29/2020 9:00,315397.276,9100561.976,4308.292,1,1,1
57,PR04PAD-15,1,4/11/2020 9:00,315397.2793,9100561.976,4308.29375,1,1,1
58,PR04PAD-15,1,4/23/2020 9:00,315397.2801,9100561.979,4308.2945,1,1,1
59,PR04PAD-15,1,4/28/2020 9:00,315397.281,9100561.976,4308.294,1,1,1
60,PR04PAD-15,1,5/6/2020 9:00,315397.285,9100561.976,4308.2975,1,1,1
61,PR04PAD-15,1,5/13/2020 9:00,315397.2845,9100561.979,4308.293675,1,1,1
62,PR04PAD-15,1,6/7/2020 9:00,315397.2748,9100561.976,4308.295,1,1,1
63,PR04PAD-15,1,6/14/2020 9:00,315397.274,9100561.977,4308.293,1,1,1
64,PR04PAD-15,1,6/21/2020 9:00,315397.2745,9100561.976,4308.2935,1,1,1
65,PR05PAD-15,1,12/23/2019 9:20,315127.0697,9100535.79,4332.094467,1,1,1
66,PR05PAD-15,1,12/25/2019 9:20,315127.0711,9100535.79,4332.102033,1,1,1
67,PR05PAD-15,1,12/27/2019 9:20,315127.07,9100535.793,4332.095,1,1,1
68,PR05PAD-15,1,1/19/2020 8:30,315127.0651,9100535.793,4332.103633,1,1,1
69,PR05PAD-15,1,1/26/2020 8:30,315127.0684,9100535.791,4332.096675,1,1,1
70,PR05PAD-15,1,2/4/2020 9:00,315127.0691,9100535.791,4332.0979,1,1,1
71,PR05PAD-15,1,3/15/2020 9:00,315127.0651,9100535.793,4332.095,1,1,1
72,PR05PAD-15,1,3/29/2020 9:00,315127.063,9100535.791,4332.096675,1,1,1
73,PR05PAD-15,1,4/11/2020 9:00,315127.067,9100535.797,4332.095,1,1,1
74,PR05PAD-15,1,4/23/2020 9:00,315127.066,9100535.795,4332.09325,1,1,1
75,PR05PAD-15,1,4/28/2020 9:00,315127.065,9100535.793,4332.096,1,1,1
76,PR05PAD-15,1,5/6/2020 9:00,315127.0645,9100535.796,4332.09025,1,1,1
77,PR05PAD-15,1,5/13/2020 9:00,315127.0705,9100535.791,4332.091,1,1,1
78,PR05PAD-15,1,6/7/2020 9:00,315127.0715,9100535.79,4332.09025,1,1,1
79,PR05PAD-15,1,6/14/2020 9:00,315127.071,9100535.791,4332.093,1,1,1
80,PR05PAD-15,1,6/21/2020 9:00,315127.0695,9100535.792,4332.094,1,1,1
